,sub_id,v,trial,Choice,Divergence,Avg Pred Prob,Avg Succ Prob,Base Rate Ratio,Base Rate Ratio log,AvgPredProblog,AvgSuccProblog
0,1,1.0,1,1,5.22,0.067,0.00036,7.78,2.0515563381903004,-2.703062659591171,-7.929406526514119
1,1,1.0,2,0,3.75,0.02,0.00055,1.71,0.5364933705145685,-3.912023005428146,-7.505592279737757
2,1,1.0,3,0,3.59,0.013,0.00036,5.3,1.667706820558076,-4.3428059215206005,-7.929406526514119
3,1,1.0,4,0,3.05,0.008,0.00036,2.5,0.9162907318741551,-4.8283137373023015,-7.929406526514119
4,1,1.0,5,0,1.98,0.01,0.0015,5.62,1.7263316639055997,-4.605170185988091,-6.502290170873972
5,1,1.0,6,0,0.95,0.004,0.0017,2.53,0.9282193027394288,-5.521460917862246,-6.3771270279199666
6,1,1.0,7,1,-0.18,0.083,0.1,3.09,1.128171090909654,-2.488914671185539,-2.3025850929940455
7,1,1.0,8,1,-1.62,0.017,0.086,1.51,0.412109650826833,-4.074541934925921,-2.4534079827286295
0,2,1.0,1,1,5.22,0.067,0.00036,7.78,2.0515563381903004,-2.703062659591171,-7.929406526514119
1,2,1.0,2,1,3.75,0.02,0.00055,1.71,0.5364933705145685,-3.912023005428146,-7.505592279737757
2,2,1.0,3,1,3.59,0.013,0.00036,5.3,1.667706820558076,-4.3428059215206005,-7.929406526514119
3,2,1.0,4,1,3.05,0.008,0.00036,2.5,0.9162907318741551,-4.8283137373023015,-7.929406526514119
4,2,1.0,5,1,1.98,0.01,0.0015,5.62,1.7263316639055997,-4.605170185988091,-6.502290170873972
5,2,1.0,6,1,0.95,0.004,0.0017,2.53,0.9282193027394288,-5.521460917862246,-6.3771270279199666
6,2,1.0,7,1,-0.18,0.083,0.1,3.09,1.128171090909654,-2.488914671185539,-2.3025850929940455
7,2,1.0,8,1,-1.62,0.017,0.086,1.51,0.412109650826833,-4.074541934925921,-2.4534079827286295
0,3,1.0,1,1,5.22,0.067,0.00036,7.78,2.0515563381903004,-2.703062659591171,-7.929406526514119
1,3,1.0,2,0,3.75,0.02,0.00055,1.71,0.5364933705145685,-3.912023005428146,-7.505592279737757
2,3,1.0,3,0,3.59,0.013,0.00036,5.3,1.667706820558076,-4.3428059215206005,-7.929406526514119
3,3,1.0,4,0,3.05,0.008,0.00036,2.5,0.9162907318741551,-4.8283137373023015,-7.929406526514119
4,3,1.0,5,0,1.98,0.01,0.0015,5.62,1.7263316639055997,-4.605170185988091,-6.502290170873972
5,3,1.0,6,0,0.95,0.004,0.0017,2.53,0.9282193027394288,-5.521460917862246,-6.3771270279199666
6,3,1.0,7,0,-0.18,0.083,0.1,3.09,1.128171090909654,-2.488914671185539,-2.3025850929940455
7,3,1.0,8,1,-1.62,0.017,0.086,1.51,0.412109650826833,-4.074541934925921,-2.4534079827286295
0,4,1.0,1,1,5.22,0.067,0.00036,7.78,2.0515563381903004,-2.703062659591171,-7.929406526514119
1,4,1.0,2,1,3.75,0.02,0.00055,1.71,0.5364933705145685,-3.912023005428146,-7.505592279737757
2,4,1.0,3,1,3.59,0.013,0.00036,5.3,1.667706820558076,-4.3428059215206005,-7.929406526514119
3,4,1.0,4,0,3.05,0.008,0.00036,2.5,0.9162907318741551,-4.8283137373023015,-7.929406526514119
